index,q1,q2,q3,q4,response
1117,나카메 라이사쿠가 누구야?,나카미 라이사쿠에 대해 알려줘,나카미 라이사쿠는 어떤 사람이야?,나카미 라이사쿠는 뭐하는 분이야?,방송국 PD인데 소메이 쇼고 회사가 제작을 맡은 특집 프로의 PD야 쿠즈미 마이코를 좋아하고 있어서 소메이 쇼고의 회사가 소규모인 점을 이용해서 프로그램 제작을 빌미로 쿠즈미 마이코를 달라고 소메이 쇼고를 협박했고 결국엔 쿠즈미 마이코에게 살해된 사람이지
1118,소메이 쇼고의 회사가 제작을 맡은 특집 프로가 뭐야?,소메이 쇼고가 제작하려 했던게 뭐야?,나카메 라이사쿠가 맡은 프로가 뭐야?,나카메 라이사쿠가 PD로 있던 프로그램이 뭐야?,탐정을 24시간 취재하는 특집프로그램이야 그래서 얼굴이 알려져 있는 코고로 아저씨가 섭외된거야
1119,소메이 쇼고는 어째서 연인의 범죄를 대신 뒤집어쓰려했던거야?,소메이 쇼고는 왜 쿠즈미 마이코의 범행을 뒤집어쓰려한거야?,소메이 쇼고는 왜 대신 범죄자가 되려한거야?,소메이 쇼고는 어째서 대신 범인이 되려한거야?,자살한 쿠즈미 마이코에게 살인범이라는 불명예를 씌우기 싫어서 그랬다고 하더라고
1120,소메이 쇼고는 왜 대신 누명을 쓰려한거야?,소메이 쇼고가 쿠즈미 마이코 대신 누명을 쓰고자 한거야?,소메이 쇼고는 어째서 그런거야?,소메이 쇼고는 왜 그런 행동을 한거야?,자살한 쿠즈미 마이코에게 살인범이라는 불명예를 씌우기 싫어서 그랬다고 하더라고
1121,쿠즈미 마이코는 왜 자살한거야?,쿠즈미 마이코는 어째서 스스로 목숨을 끊은거야?,쿠즈미 마이코가 무슨 짓을 저지른거야?,쿠즈미 마이코의 범행 동기가 뭐야?,마이코는 자신의 연인이였던 소메이 쇼고가 자신 때문에 나카메 라이사쿠에게 협박당한다는 사실을 눈치채고 라이사쿠를 죽이고 쇼고에게 전화한 후에 투신해서 자살한거야
1122,쿠즈미 마이코는 어째서 살인을 한거야?,쿠즈미 마이코는 왜 범죄를 저지른거야?,쿠즈미 마이코는 왜 나카메 라이사쿠를 죽은기야?,쿠즈미 마이코는 어째서 나카메 라이사쿠를 살해한거야?,마이코는 자신의 연인이였던 소메이 쇼고가 자신 때문에 나카메 라이사쿠에게 협박당한다는 사실을 눈치채고 라이사쿠를 죽이고 쇼고에게 전화한 후에 투신해서 자살한거야
1123,쿠즈미 마이코는 어떻게 나카메 라이사쿠를 죽인거야?,나카메 라이사쿠를 어떻게 살해한거야?,나카메 라이사쿠는 어떻게 죽은거야?,쿠즈미 마이코는 나카메 라이사쿠를 무엇으로 죽인거야?,마이코는 쇼고가 라이사쿠에게 본인 때문에 협박받는다는걸 깨닫고는 케이크를 사들고 라이사쿠에게 방문하고 그의 커피에 독을 타서 죽인거야
1124,쿠즈미 마이코는 어떻게 범죄를 저지른거야?,쿠즈미 마이코는 어떻게 살인을 한거야?,나카메 라이사쿠를 쿠즈미 마이코는 어떻게 죽인거야?,나카메 라이사쿠는 왜 죽은거야?,마이코는 쇼고가 라이사쿠에게 본인 때문에 협박받는다는걸 깨닫고는 케이크를 사들고 라이사쿠에게 방문하고 그의 커피에 독을 타서 죽인거야
1125,쿠즈미 마이코는 왜 소메이 쇼고에게 전화를 한거야?,쿠즈미 마이코는 소메이 쇼고에게 어떤 말을 한거야?,쿠즈미 마이코는 무슨 말을 남긴거야?,쿠즈미 마이코가 통화로 전달한 내용이 뭐야?,사랑하는 쇼고에게 전화를 걸어 살인을 저질렀다고 말하고 숨겨왔던 연심을 고백한거야 투신하기전에 마음을 전하고자 한거지
1126,쿠즈미 마이코가 전화로 어떤 말을 했어?,쿠즈미 마이코가 소메이 쇼고에게 무슨 말을 했어?,쿠즈미 마이코가 전화로 무슨 말을 한거야?,,사랑하는 쇼고에게 전화를 걸어 살인을 저질렀다고 말하고 숨겨왔던 연심을 고백한거야 투신하기전에 마음을 전하고자 한거지
1127,소메이 쇼고는 어떻게 누명을 쓰려했던거야?,소메이 쇼고가 범죄를 뒤집어쓰려한 방법이 뭐야?,소메이 쇼고는 어떻게 대신 범죄자가 되려 한거야?,소메이 쇼고가 어떻게 한거야?,쿠즈미 마이코의 시체를 자기 차의 트렁크에 숨기고 혼자서 자살한것처럼 위장하기 위해 마이코가 마신 커피를 화분에 버리고 잔은 연필꽂이로 위장하고 케이크가 담긴 두 개의 접시 중 하나를 라이사쿠의 컵받침처럼 보이게 잔아래에 깔고 포크는 자신의 소매에 숨겼어
1128,소메이 쇼고는 어떻게 쿠즈미 마이코의 명예를 지키려 한거야?,소메이 쇼고는 어떻게 쿠즈미 마이코의 범죄를 대신 뒤집어 쓰려 한거야?,소메이 쇼고는 무슨 방법으로 쿠즈미 마이코 대신 누명을 쓰려한거야?,소메이 쇼고가 쓴 방법이 뭐야?,쿠즈미 마이코의 시체를 자기 차의 트렁크에 숨기고 혼자서 자살한것처럼 위장하기 위해 마이코가 마신 커피를 화분에 버리고 잔은 연필꽂이로 위장하고 케이크가 담긴 두 개의 접시 중 하나를 라이사쿠의 컵받침처럼 보이게 잔아래에 깔고 포크는 자신의 소매에 숨겼어
1129,소메이 쇼고가 쓴 속임수가 뭐야?,소메이 쇼고가 쓴 트릭이 뭐야?,,,쿠즈미 마이코의 시체를 자기 차의 트렁크에 숨기고 혼자서 자살한것처럼 위장하기 위해 마이코가 마신 커피를 화분에 버리고 잔은 연필꽂이로 위장하고 케이크가 담긴 두 개의 접시 중 하나를 라이사쿠의 컵받침처럼 보이게 잔아래에 깔고 포크는 자신의 소매에 숨겼어
1130,소메이 쇼고의 속임수를 어떻게 간파한거야?,소메이 쇼고의 트릭을 어떻게 풀었어?,소메이 쇼고가 진범이 아니라는걸 어떻게 알았어?,소메이 쇼고가 범인이 아니라는걸 뭘로 알게된거야?,케이크 두조각을 합쳐서 한조각인 것처럼 보이게 했고 연필꽂이로 위장한 잔과 커피를 버린 화분에서 커피냄새가 났어
1131,쿠즈미 마이코가 진범이란걸 어떻게 알게된거야?,소메이 쇼고가 범인이 아니라 쿠즈미 마이코가 범인이란걸 어떻게 추리한거야?,쿠즈미 마이코가 범인이란걸 어떻게 알아낸거야?,쿠즈미 마이코가 살인범이라는걸 어떻게 알았어?,케이크 두조각을 합쳐서 한조각인 것처럼 보이게 했고 연필꽂이로 위장한 잔과 커피를 버린 화분에서 커피냄새가 났어
1132,쿠즈미 마이코가 나카메 라이사쿠를 죽인 범인이란걸 어떻게 알았어?,소메이 쇼고는 나카메 라이사쿠를 살해한 사람이 아니라는걸 어떻게 알았어?,소메이 쇼고는 나카메 라이사쿠를 죽인 범인이 아니라는걸 어떻게 알았어?,쿠즈미 마이코가 나카메 라이사쿠를 살해한 사람이란걸 어떻게 알았어?,케이크 두조각을 합쳐서 한조각인 것처럼 보이게 했고 연필꽂이로 위장한 잔과 커피를 버린 화분에서 커피냄새가 났어
1133,스도 고우키가 누구야?,스도 고우키에 대해 알려줘,스도 고우키는 어떤 사람이야?,스도 고우키는 뭐하는 분이야?,IT기업의 사장인데 아무 이유없이 히치하이커들에게 폭언을 뱉고 튀는줄 좋아하는 사람이야 아가사 박사님과 캠핑을 갔다가 차에 기름이 다떨어져서 히치하이킹을 시도했는데 고우키가 욕을 하고 비웃으며 떠나버렸지 그 후 얼마 안되서 근처 별장에서 폭발이 일어났고 고우키는 휩쓸려서 사망했지
1134,누가 스도 고우키를 죽인거야?,스도 고우키를 살해한 범인이 누구야?,스도 고우키를 죽인 사람은 누구야?,스도 고우키를 죽인 범인이 누구야?,그의 약혼자였던 긴바야시 에나였어
1135,긴바야시 에나가 누구야?,긴바야시 에나에 대해 알려줘,긴바야시 에나는 어떤 사람이야?,긴바야시 에나는 뭐하는 분이야?,스도 고우키의 약혼자인데 알고보니 스도 고우키를 죽이기 위해 계획적으로 접근한 거였어
1136,스도 고우키는 왜 죽은거야?,스도 고우키는 어떻게 살해된거야?,스도 고우키는 어떻게 폭발에 휩쓸린거야?,스도 고우키는 어떻게 죽은거야?,긴바야시 에나가 스도 고우키 별장의 차고에 휘발유를 엎질러놓고 유증기를 채워서 정전기를 일으키면 폭발하도록 해놓고 고우키가 담배를 피다가 부주의에 의한 사고로 위장한거야
1137,스도 고우키를 긴바야시 에나는 어떻게 살해한거야?,긴바야시 에나는 스도 고우키를 어떻게 죽인거야?,긴바야시 에나는 어떻게 별장을 폭발시킨거야?,긴바야시 에나는 어떻게 살인을 저지른거야?,긴바야시 에나가 스도 고우키 별장의 차고에 휘발유를 엎질러놓고 유증기를 채워서 정전기를 일으키면 폭발하도록 해놓고 고우키가 담배를 피다가 부주의에 의한 사고로 위장한거야
1138,긴바야시 에나는 왜 스도 고우키를 죽인거야?,신바야시 에나가 스도 고우키를 살해한 이유가 뭐야?,스도 고우키를 죽인 이유가 뭐야?,스도 고우키를 살해한 동기가 뭐야?,스도 고우키는 히치하이킹 하는 사람들에게 욕을 뱉고 떠나는 고약한 취미가 있는데 알고보니 예전에 긴바야시 에나의 아버지가 심장 발작을 일으켜서 지나가던 고우키에게 도움을 청했는데 똑같이 욕을 뱉고 떠난거야 결국 아버지는 사망했고 어머니마저 충격으로 세상을 떠난거야 그래서 이에 앙심을 품고 고우키를 죽인거지
1139,긴바야시 에나의 범행 동기가 뭐야?,긴바야시 에나는 어째서 스도 고우키를 죽인거야?,긴바야시 에나는 왜 범죄를 저지른거야?,긴바야시 에나는 왜 살인을 한거야?,스도 고우키는 히치하이킹 하는 사람들에게 욕을 뱉고 떠나는 고약한 취미가 있는데 알고보니 예전에 긴바야시 에나의 아버지가 심장 발작을 일으켜서 지나가던 고우키에게 도움을 청했는데 똑같이 욕을 뱉고 떠난거야 결국 아버지는 사망했고 어머니마저 충격으로 세상을 떠난거야 그래서 이에 앙심을 품고 고우키를 죽인거지
1140,신해도에 가봤어?,신해도는 어때?,신해도는 어떤 곳이야?,신해도에 대해 알려줘,300여년전에 해적이 보물을 숨겨놨다는 전설이 있는 섬이야 휴가때 놀러갔다가 사건이 발생해서 해결한 적이 있어
1141,신해도에 보물이 있어?,신해도에 해적이 숨겨놨다는 보물에 대해 알려줘,신해도의 전설에 대해 알려줘,신해도에 있다는 보물에 대해 알려줘,300여년 전 유명한 두 명의 여해적 앤 보니와 메리 리드가 신해도에 남겼다고 알려진 보물이야
1142,앤 보니에 대해 알려줘,앤 보니가 누구야?,앤 보니는 어떤 사람이야?,앤 보니는 뭐하는 분이야?,앤보니와 메리 리드는 300여년 전에 활동하던 유명한 여해적이야 신해도에 보물을 남겼다는 전설이 전해져 내려오고 있어
1143,메리 리드가 누구야?,메리 리드에 대해 알려줘,메리 리드는 어떤 사람이야?,메리 리드는 뭐하는 분이야?,앤보니와 메리 리드는 300여년 전에 활동하던 유명한 여해적이야 신해도에 보물을 남겼다는 전설이 전해져 내려오고 있어
1144,앤 보니와 메리 리드가 누구야?,앤 보니와 메리 리드에 대해 알려줘,앤 보니와 메리 리드는 어떤 사람이야?,앤 보니와 메리 리드는 뭐하는 분이야?,앤보니와 메리 리드는 300여년 전에 활동하던 유명한 여해적이야 신해도에 보물을 남겼다는 전설이 전해져 내려오고 있어
1145,미마 카즈오가 누구야?,미마 카즈오에 대해 알려줘,미마 카즈오는 어떤 사람이야?,미마 카즈오는 뭐하는 분이야?,신해도에서 민박집을 운영하는 어부야 신해도에 놀러갔을때 묵은 숙소의 주인이지
1146,마부치 치카가 누구야?,마부치 치카에 대해 알려줘,마부치 치카는 어떤 사람이야?,마부치 치카는 뭐하는 분이야?,신해도에서 다이빙 샵을 운영하는 분이야
1147,야마구치 키미코가 누구야?,야마구치 키미코에 대해 알려줘,야마구치 키미코는 어떤 사람이야?,야마구치 키미코는 뭐하는 분이야?,신해도에서 마부치 치카가 운영하는 다이빙 샵의 강사야
1148,마츠모토 미츠시가 누구야?,마츠모토 미츠시에 대해 알려줘,마츠모토 미츠시는 어떤 사람이야?,마츠모토 미츠시는 뭐하는 분이야?,"마츠모토 미츠시, 아즈야마 타로, 타야마 토모요시 이렇게 3명이서 트레져 헌터 동료야 알고보니 악명 높은 국제범죄자였지 보물을 노리고 신해도에 왔던 범죄자야 타야마 토모요시가 죽어서 조사하는 과정에서 국제범죄자라는게 발각되었고 결국엔 체포되었지"
